           3           2          11           2           9           2
           1           1           4           2           2           2
           6           3          19           2          11           1
           1           2           1           2           3           2
           0           0           0           0           0           0
           1           3           2           2           4           2
           7           1           9           1          20           2
           1           4           3           2           1           2
           5           6          16           2          15           2
           2           5           8           2           6           2
           7           7          22           2          16           1
           2           6           5           2           7           2
           0           0           0           0           0           0
           2           7           6           2           8           2
           6           5          15           1          17           2
           2           8           7           2           5           2
           7           9          12           1           4           1
           3           1           1           1          10           2
           4          10          14           2          12           2
           3           9           9           2          11           2
           6           2           2           1          14           1
           3          10          10           2           1           1
           7          11          16           1           9           1
           4           9          10           1          13           2
           5          12          15           2          16           2
           4          11          12           2          14           2
           6          10          11           1          15           1
           4          12          13           2          10           1
           6          12          14           1           8           1
           5           5           5           1          13           1
           7           6           6           1          12           1
           5          11          13           1           5           1
           0           0           0           0           0           0
           6           8           8           1          18           2
           0           0           0           0           0           0
           6          13          17           2          19           2
           0           0           0           0           0           0
           6          14          18           2           2           1
           0           0           0           0           0           0
           7           4           4           1          21           2
           0           0           0           0           0           0
           7          15          20           2          22           2
           0           0           0           0           0           0
           7          16          21           2           6           1
