           4           2          22           2          21           2
           1           1           5           2           2           2
          32           3         103           1          22           1
           1           2           1           2           3           2
          25           4          77           1         103           2
           1           3           2           2           4           2
          18           5          51           1          77           2
           1           4           3           2           5           2
          11           1          21           1          51           2
           1           5           4           2           1           2
           9           7          41           2          37           2
           2           6          10           2           7           2
          16           8          67           2          41           1
           2           7           6           2           8           2
          23           9          93           2          67           1
           2           8           7           2           9           2
          30          10         119           2          93           1
           2           9           8           2          10           2
          37           6          37           1         119           1
           2          10           9           2           6           2
           4          12          21           2          22           2
           3          11          20           2          12           2
          10          13          50           2          42           2
           3          12          11           2          13           2
           8          14          36           2          34           2
           3          13          12           2          14           2
          54          15         164           1          36           1
           3          14          13           2          15           2
          49          16         143           1         164           2
           3          15          14           2          16           2
          38          17         142           2         143           2
           3          16          15           2          17           2
          43          18         156           2         142           1
           3          17          16           2          18           2
          48          19          31           1         156           1
           3          18          17           2          19           2
           7          20          33           2          31           2
           3          19          18           2          20           2
          31          11         127           2         120           2
           3          20          19           2          11           2
          11          12          42           1           5           1
           4           1           1           1          11           1
          32           2           2           1         127           1
           4          11          11           1           1           1
           7          22          32           2          33           2
           5          21          26           2          24           2
          47          23          38           1          32           1
           5          22          23           2          25           2
           9          24          37           2          38           2
           5          23          24           2          26           2
          33          21         130           2         128           2
           5          24          25           2          23           2
           8          26          34           2          35           2
           6          25          30           2          28           2
          12          27          54           2          52           2
           6          26          27           2          29           2
           9          28          40           2          41           2
           6          27          28           2          30           2
          53          25          35           1          40           1
           6          28          29           2          27           2
          48          29         163           1          18           1
           7          19          19           1          32           2
          47          22          24           1         163           2
           7          29          31           2          23           1
          35          20         120           1         130           1
           7          21          23           1          19           1
          14          26          52           1          50           1
           8          13          13           1          27           1
          53          30         172           2          30           1
           8          25          27           1          36           2
          54          14          14           1         172           1
           8          30          35           2          13           1
          37          24         128           1          10           1
           9           6           6           1          25           1
          47          31         154           1          24           1
           9          23          25           1          39           2
          42          32         153           2         154           2
