           1           1           4           2           2           1
           6           2           9           2          12           1
           1           2           1           1           3           2
           3           3          10           2           9           1
           5           4          11           2          10           1
           1           3           2           1           4           2
           4           1          12           2          11           1
           1           4           3           2           1           1
           6           6          12           1           9           2
           2           5           8           2           6           1
           2           6           5           2           7           1
           4           7          11           1          12           2
           2           7           6           1           8           2
           5           8          10           1          11           2
           3           5           9           1          10           2
           2           8           7           1           5           2
           3           2           2           2           8           1
           6           5           5           1           1           2
           5           3           3           1           7           2
           3           8           8           1           2           2
           4           4           4           1           6           2
           5           7           7           2           3           1
           6           1           1           2           5           1
           4           6           6           2           4           1
