 0.499999999999999E+00  0.919129619263300E-19  0.301177778413964E-17 1 2 1 6 3  
 0.250000000000009E-01  0.499374608885954E+00  0.522208172112423E-17 1 1 3 5 1  
 0.249999999999991E-01  0.173205080756888E+00  0.361826917497051E-16 2 1 5 4 1  
 0.175000000000000E+00 -0.256283663881403E-17 -0.825321584180087E-17 3 1 4 6 1  
 0.250000000000009E-01  0.499374608885954E+00  0.100000000000000E+01 5 2 2 5 3  
 0.499999999999999E+00  0.599647593948253E-17  0.100000000000000E+01 5 1 3 6 2  
 0.175000000000000E+00  0.131959630466431E-19  0.100000000000000E+01 6 1 6 4 2  
 0.249999999999991E-01  0.173205080756888E+00  0.999999999999999E+00 7 1 4 5 2  
 0.249999999999982E-01  0.499374608885954E+00  0.500000000000000E+00 10 1 5 3  
 0.249999999999999E-01  0.173205080756888E+00  0.500000000000000E+00 12 1 5 4  
