          11           2          34           2          33           2
           1           1           4           2           2           2
          15           3          42           2          41           2
           1           2           1           2           3           2
          12           4          36           2          35           2
           1           3           2           2           4           2
          17           1          46           2          45           2
           1           4           3           2           1           2
          13           6          38           2          37           2
           2           5           8           2           6           2
          18           7          48           2          47           2
           2           6           5           2           7           2
          14           8          40           2          39           2
           2           7           6           2           8           2
          16           5          44           2          43           2
           2           8           7           2           5           2
           7          10          26           2          25           2
           3           9          12           2          10           2
          16          11          43           2          44           2
           3          10           9           2          11           2
           9          12          30           2          29           2
           3          11          10           2          12           2
          15           9          41           2          42           2
           3          12          11           2           9           2
           8          14          28           2          27           2
           4          13          16           2          14           2
          17          15          45           2          46           2
           4          14          13           2          15           2
          10          16          32           2          31           2
           4          15          14           2          16           2
          18          13          47           2          48           2
           4          16          15           2          13           2
           7          18          25           2          26           2
           5          17          20           2          18           2
          11          19          33           2          34           2
           5          18          17           2          19           2
           8          20          27           2          28           2
           5          19          18           2          20           2
          13          17          37           2          38           2
           5          20          19           2          17           2
           9          22          29           2          30           2
           6          21          24           2          22           2
          14          23          39           2          40           2
           6          22          21           2          23           2
          10          24          31           2          32           2
           6          23          22           2          24           2
          12          21          35           2          36           2
           6          24          23           2          21           2
          19          18          34           1          41           1
           7           9           9           1          17           1
          20          10          44           1          37           1
           7          17          17           1           9           1
          22          20          38           1          47           1
           8          13          13           1          19           1
          21          14          46           1          33           1
           8          19          19           1          13           1
          24          22          40           1          43           1
           9          11          11           1          21           1
          23          12          42           1          35           1
           9          21          21           1          11           1
          25          24          36           1          45           1
          10          15          15           1          23           1
          26          16          48           1          39           1
          10          23          23           1          15           1
          21          19          28           1          46           1
          11           1           1           1          18           1
          19           2          41           1          25           1
          11          18          18           1           1           1
          23          21          30           1          42           1
          12           3           3           1          24           1
          25           4          45           1          31           1
          12          24          24           1           3           1
          20          17          26           1          44           1
          13           5           5           1          20           1
          22           6          47           1          27           1
          13          20          20           1           5           1
          26          23          32           1          48           1
          14           7           7           1          22           1
          24           8          43           1          29           1
          14          22          22           1           7           1
          19           9          25           1          34           1
          15           2           2           1          12           1
          23           3          35           1          30           1
          15          12          12           1           2           1
          24          11          29           1          40           1
          16           8           8           1          10           1
          20           5          37           1          26           1
          16          10          10           1           8           1
          25          15          31           1          36           1
          17           4           4           1          14           1
          21           1          33           1          28           1
          17          14          14           1           4           1
          22          13          27           1          38           1
          18           6           6           1          16           1
          26           7          39           1          32           1
          18          16          16           1           6           1
