           3           2          14           2          11           2
           1           1           4           2           2           2
           6           3          15           1          14           1
           1           2           1           2           3           2
           4           4          18           2          15           2
           1           3           2           2           4           2
           7           1          11           1          18           1
           1           4           3           2           1           2
           3           6           6           1          12           2
           2           5          10           2           6           2
           3           7          11           2           5           1
           2           6           5           2           7           2
           7           8          18           1          11           1
           2           7           6           2           8           2
           4           9           9           1          18           2
           2           8           7           2           9           2
           4          10          17           2           8           1
           2           9           8           2          10           2
           8           5          12           1          17           1
           2          10           9           2           5           2
           7           7           7           1           4           1
           3           1           1           1           6           1
           8          11          19           1          10           1
           3           5           5           1          13           2
           5          12          20           2          19           2
           3          11          12           2          14           2
           6           2           2           1          20           1
           3          12          13           2           1           1
           6          13          20           1           2           1
           4           3           3           1          16           2
           5          14          19           2          20           2
           4          13          15           2          17           2
           8          10          10           1          19           1
           4          14          16           2           9           1
           7           4           4           1           7           1
           4           8           8           1           3           1
           8          14          17           1          12           1
           5          11          13           1          16           1
           6          12          14           1          15           1
           5          13          16           1          13           1
