           4           2          14           2          13           2
           1           1           4           2           2           2
          19           3          35           1          14           1
           1           2           1           2           3           2
          14           4          26           1          35           2
           1           3           2           2           4           2
           9           1          13           1          26           2
           1           4           3           2           1           2
           7           6          22           2          21           2
           2           5           8           2           6           2
          12           7          31           2          22           1
           2           6           5           2           7           2
          17           8          40           2          31           1
           2           7           6           2           8           2
          22           5          21           1          40           1
           2           8           7           2           5           2
           4          10          13           2          14           2
           3           9          12           2          10           2
           8          11          25           2          23           2
           3          10           9           2          11           2
           5          12          17           2          15           2
           3          11          10           2          12           2
          18           9          42           2          41           2
           3          12          11           2           9           2
           9          10          23           1           4           1
           4           1           1           1           9           1
          19           2           2           1          42           1
           4           9           9           1           1           1
          10          13          28           2          25           1
           5          11          11           1          16           2
           6          14          19           2          20           2
           5          13          15           2          17           2
          20          12          41           1          43           2
           5          14          16           2          11           1
           7          16          21           2          22           2
           6          15          20           2          19           2
          21          14          43           1          44           2
           6          16          18           2          16           1
          11          15          30           2          28           1
           6          13          16           1          18           2
          22          16          44           1           8           1
           7           5           5           1          18           1
          12           6           6           1          30           1
           7          15          18           1           5           1
           9          17          26           2          13           1
           8          10          10           1          24           2
          13          18          34           2          32           2
           8          17          23           2          25           2
          10          11          15           1          27           2
           8          18          24           2          10           1
          14          17          32           1           3           1
           9           4           4           1          23           1
          15          19          37           2          34           1
          10          18          25           1          28           2
          11          13          20           1          29           2
          10          19          27           2          15           1
          16          20          39           2          37           1
          11          19          28           1          30           2
          12          15          22           1          31           2
          11          20          29           2          20           1
          17           7           7           1          39           1
          12          20          30           1           6           1
          14          21          35           2          26           1
          13          17          24           1          33           2
          18          22          41           2          42           2
          13          21          32           2          34           2
          15          18          27           1          36           2
          13          22          33           2          24           1
          19          21          42           1           2           1
          14           3           3           1          32           1
          20          23          43           2          41           1
          15          22          34           1          37           2
          16          19          29           1          38           2
          15          23          36           2          27           1
          21          24          44           2          43           1
          16          23          37           1          39           2
          17          20          31           1          40           2
          16          24          38           2          29           1
          22           8           8           1          44           1
          17          24          39           1           7           1
          20          22          36           1          17           1
          18          12          12           1          33           1
          19           9          14           1          35           1
          18          21          33           1          12           1
          21          23          38           1          19           1
          20          14          17           1          36           1
          22          24          40           1          21           1
          21          16          19           1          38           1
