           2          63
           3          16
           2          16
           2          87
           2          86
           1          86
           2         115
           1         115
           1         208
           1         209
           1         210
           2         190
           2         131
           2         130
           2         129
           2          97
           1          97
           2          40
           1          40
           1          41
           1         179
           1         184
           2         136
           1         136
           1         140
           1         141
           2         206
           2          73
           1          73
           1          52
           1          53
           1          57
           1          67
           1          91
           1          94
           1         139
           1         145
           2         168
           2         165
           2         153
           2         149
           1           8
           1           9
           1          10
           2           1
           1           1
           3          63
           1          17
           3          76
           1           4
           1          39
           1         105
           1         108
           2          96
           1          16
           1          76
           2          60
           3          88
           2          88
           1         119
           3         119
           1         142
           2         154
           2          59
           2          58
           2          54
           2          36
           1          36
           1          38
           2         231
           1         231
           1         232
           1         233
           2         192
           2         191
           1         104
           1         106
           1         107
           1         110
           1         113
           2         126
           2         124
           2         123
           2         122
           2         121
           2         117
           2         109
           2          77
           2          66
           2         181
           2         180
           2         176
           2         175
           2          85
           2          76
           3          60
           1           2
           1           5
           1          75
           1          61
           1          62
           1          60
           3           3
           3          36
           3          23
           1          12
           1          13
           2           3
           2          43
           3          43
           3         132
           1         132
           1         133
           3          14
           3         134
           1          43
           1           3
           3          86
           3         112
           3         222
           3         188
           3         190
           1          80
           3         105
           3         199
           1          81
           1          23
           3          69
           1          47
           2          29
           1          29
           3           1
           2          27
           2          23
           1          32
           1          56
           1          31
           1          46
           3          40
           1         118
           1          42
           1          19
           1          20
           3         157
           1          21
           1          83
           3         136
           1         157
           2          19
           3          19
           1          24
           3         203
           1         170
           1         101
           1          51
           1          26
           1          25
           3         164
           1          50
           3          49
           2          61
           2          55
           1          55
           3         102
           2          18
           2          15
           2          49
           3         135
           1          22
           1          14
           2          14
           3          75
           1           6
           1           7
           2         308
           2         310
           2         307
           1         307
           1         318
           2         319
           1         319
           2         441
           2         440
           1         255
           2         304
           2         294
           2         290
           2         269
           1         344
           2         355
           2         334
           2         333
           1         333
           2         421
           2         420
           2         402
           2         401
           1         369
           1         370
           2         332
           2         331
           1         331
           1         453
           1         454
           2         446
           1         446
           1         477
           2         474
           2         377
           2         376
           1         376
           2         433
           2         432
           2         431
           2         329
           2         328
           1         309
           3         308
           3         327
           1         320
           2         330
           1         330
           1         378
           2         342
           2         317
           2         311
           2         320
           1         273
           1         277
           1         278
           1         280
           1         282
           1         283
           2         394
           2         390
           2         389
           2         385
           2         384
           1         384
           1         472
           2         468
           1         468
           2         409
           2         408
           2         407
           2         405
           2         404
           2         403
           1         403
           1         458
           1         459
           1         460
           1         461
           1         462
           1         463
           2         398
           2         346
           1         346
           1         347
           1         348
           1         352
           1         353
           1         359
           1         362
           1         321
           3         320
           3         324
           1         308
           1         325
           1         265
           1         266
           1         291
           1         292
           2         273
           3         245
           2         245
           1         245
           1         248
           3         345
           3         295
           1         296
           1         373
           3         273
           3         255
           1         340
           3         307
           1         313
           3         338
           1         312
           2         255
           3         392
           1         305
           2         259
           1         337
           2         254
           1         254
           1         303
           2         258
           1         271
           1         272
           2         260
           1         379
           1         375
           1         289
           1         270
           3         325
           3         268
           1         274
           1         275
           3         403
           1         287
           3         287
           1         252
           2         246
           1         246
           2         287
           1         251
           3         246
           1         418
           3         416
           1         247
           2         416
           1         250
           1         249
           1         256
           1         284
           1         288
           1         295
           1         343
           1         257
           3         446
           2         262
           1         262
           1         279
           2         361
           1         448
           3         262
           1         263
           1         281
           3         367
           1         264
           1         285
           1         386
           1        1382
           2         775
           2        1520
           2         648
           1         648
           1         904
           1        1210
           2        1525
           1        1390
           1        1392
           2        2541
           1        2609
           1        2552
           1        2553
           1        1379
           1        1380
           1        2006
           2        1813
           1        1813
           1        2069
           2        1251
           2        1046
           3         605
           3         653
           2         968
           1         968
           2         768
           1         768
           2        1122
           1        1122
           1        1492
           1        1555
           2        2164
           2         928
           1         928
           1        2716
           2        2498
           2        1094
           2        1238
           1        1238
           2        1747
           1        1747
           2        1476
           1        1476
           1        1405
           2         660
           3         481
           3         718
           3         539
           3         701
           3         541
           3         498
           3        2185
           3         515
           3         503
           1         482
           1         481
           3         486
           3         528
           1        1900
           2         481
           1        1372
           3        1378
           3        1032
           2         753
           3         707
           3         603
           2         539
           1         539
           2         542
           3         566
           3         553
           3         680
           2         553
           3         591
           3         710
           1         602
           3         633
           3         664
           3         667
           3         644
           1         614
           3         558
           3        2512
           2         669
           2         668
           3         719
           3         614
           1        1558
           3        1558
           2         541
           2         498
           1         498
           3         563
           3         550
           3         656
           1         550
           1         627
           3         627
           1        1559
           3         737
           3         754
           3         674
           3         590
           3         626
           3         655
           2         624
           3         619
           2         516
           1         516
           2         534
           2         497
           3        2957
           2         579
           1         579
           2        1224
           2        1558
           1        1562
           3         575
           1         503
           2         503
           1         508
           1         505
           2         486
           1         486
           2         504
           1         504
           2         625
           1         625
           3         727
           3        2150
           3        3141
           3        1404
           3        1919
           3        2439
           1        2084
           3        2079
           1        2655
           1        1561
           3        2654
           2        2621
           1        2278
           1         576
           1         570
           1         577
           3         545
           1         545
           1         801
           1         578
           2         545
           3        2186
           3         798
           1         798
           3         889
           1         891
           1        2134
           1         805
           2         798
           1         889
           1         890
           3         968
           2        2132
           1        2017
           1        2459
           1        2460
           2        2615
           2        2565
           1        2020
           1        1194
           1        1711
           1        1710
           1        2519
           1        1948
           1        1947
           1        1200
           3        1190
           2         821
           3        1707
           1        1709
           1        1500
           1        1499
           2        1947
           1        1183
           1        1178
           3         821
           1         825
           1         841
           1        1501
           3        1498
           1        1498
           2        1167
           3        1167
           1        1177
           1         824
           1         840
           1        1466
           1        1502
           2        1498
           1        2321
           1        1167
           1        1176
           3        1224
           1        1224
           1        1612
           3        1608
           1         971
           1        1721
           1         839
           1        1081
           1        1073
           1         603
           1         558
           2         558
           1         664
           2         664
           2         680
           2         571
           2         573
           1        2378
           1        1746
           2        1737
           1        1743
           3        1737
           1        1737
           3        1824
           1        1236
           1        1237
           1         934
           1         935
           1        1835
           1        1233
           3        1231
           2         934
           3         934
           1         936
           1        1378
           2         708
           2         572
           1         572
           1        1225
           2         551
           2         550
           1         596
           1         566
           2         566
           1         553
           1        1320
           1        1321
           1        1328
           2         592
           2         594
           2         639
           2         614
           1         563
           2         563
           1         598
           1         597
           2        2287
           1        2129
           1         982
           1         981
           3        1319
           1        1334
           1        1516
           1        1517
           1        2181
           1        2233
           1        2128
           3        2126
           2        2126
           1        1336
           1        1335
           1        1696
           2        1516
           3        1516
           1        1518
           1        2235
           1        2274
           1        2127
           1        2126
           3        2214
           1        2214
           1        1526
           1         975
           1         976
           1        2273
           3        2269
           1        2269
           1        2070
           1        2272
           1        2270
           1        2215
           2         975
           3         975
           1         977
           1        2071
           1        2952
           3        2360
           1        2361
           1        2362
           1         979
           1         978
           1        2074
           1        2349
           3        2279
           1        2297
           3        2295
           1        2300
           3        2348
           2        2295
           1        2352
           1         607
           1         611
           2        2206
           1        1226
           1         606
           3         604
           1         612
           2         604
           1         613
           3        2449
           3        2498
           1        2502
           1         811
           3         809
           2         809
           3        1111
           2         496
           3         496
           1         502
           1        1755
           3        2890
           3        2709
           2        2136
           3        2136
           1        1258
           3        1250
           2        1250
           1        2334
           1        1619
           3        1584
           2        1584
           1        1388
           3        1383
           1        2544
           3        2538
           2        2538
           3        2268
           1        2837
           1        1852
           3        1847
           1        1764
           3        1763
           1        1798
           3        2883
           1        2885
           2         484
           3         484
           1         491
           3        1870
           1        1872
           1        2211
           1        2661
           2         878
           3         878
           1         880
           1        2310
           3        2787
           3        2818
           3        2366
           3        3035
           3        2231
           3        2855
           1        2857
           2        2409
           3        2409
           1        2411
           1        2514
           3        2513
           3        2980
           1        2981
           3        3076
           3        2761
           3        2924
           1        2905
           1         735
           3         730
           2         730
           1        2612
           3        2609
           3         928
           1         931
           1        2385
           3        2529
           1        1313
           1        1286
           2        1274
           3        1274
           1        1276
           3        2242
           2        2242
           3        2177
           1        2648
           3        2645
           3        2736
           3        3100
           3        2725
           1        3043
           1        2932
           1        1416
           1         763
           3         762
           1         766
           1        2699
           3        2703
           3        2162
           3        3056
           1        2224
           1        2197
           3        2196
           1        2203
           3        2198
           1        1247
           3        1241
           1        1242
           1        2258
           3        2256
           3        2692
           1        2694
           1        2421
           3        2419
           1         600
           3         581
           1         586
           3        1082
           2        1082
           1        2549
           3        2548
           1        1287
           1        1288
           1        1611
           1        1101
           1         970
           1         969
           3        2431
           1        2434
           3        2372
           1        2446
           1        2239
           1        1809
           3        1807
           2        1807
           3        2365
           1         536
           3         532
           2         532
           1        2910
           1        2802
           1        1908
           1        1692
           3        1684
           1        1186
           1        1059
           3        1057
           2        1057
           3        2262
           2        2262
           3        2226
           3        2387
           2        1339
           1        1339
           3        1339
           1        2428
           1        1340
           1        1364
           1        1049
           1        2425
           2        2283
           3        1033
           1        1034
           1        2283
           1        1660
           2        1033
           1        1033
           2        1977
           1        1661
           3        1647
           1        1299
           1        1139
           1        1138
           3        1977
           1        1215
           2        1215
           1         830
           1         829
           2         833
           1         837
           3        1215
           1        1223
           1         831
           3         827
           1         828
           3         833
           1         836
           1        1222
           2         513
           2        1734
           2         827
           1         827
           1         834
           1         835
           1        1571
           1         513
           3         513
           3        2033
           1        2033
           1        2357
           1        2049
           3        1573
           1        2054
           1        2495
           2        2106
           1         518
           1         519
           2        2033
           1        2685
           1        2145
           3        2142
           1        2142
           1        2148
           1        2106
           1        1126
           3        1126
           1        2172
           1        2171
           1        2173
           3        2171
           2         627
           2         630
           1         626
           2         626
           2         522
           1         515
           1         689
           2         689
           1         796
           3        2753
           1        2754
           2        1419
           1        1419
           1        1420
           1         641
           1         679
           2         641
           3         641
           1         682
           3        2175
           1        2394
           1         688
           1         685
           1        2323
           1        2989
           1        2780
           1        1326
           3        1322
           1        1285
           2         915
           1         915
           1        1100
           3        1096
           1        1096
           3        1455
           1         774
           1        2464
           1        2465
           1        2605
           2        2481
           1        1424
           1        2485
           3        2481
           2        2669
           1        2463
           1        1423
           1        1425
           1        2484
           1        2483
           3        2669
           1        1679
           2        1423
           3        1423
           1        2671
           1        1677
           3        1673
           1        1440
           1        1438
           1        2816
           1        2733
           3        2733
           2         900
           1         900
           1        1676
           1        1673
           3        2559
           1        2560
           1        2831
           3        1429
           1        1577
           1         547
           1         548
           1         705
           1         720
           1         916
           1         621
           1         622
           2         853
           1         853
           1         773
           1         483
           2        2733
           1         876
           3         900
           1         901
           2        2157
           1        2562
           1        2561
           1        2153
           2        2152
           1         867
           3         852
           2         758
           1         737
           2         590
           1         590
           1         619
           2         492
           2         487
           2         686
           1         722
           1         855
           1         918
           1         917
           3         794
           1         698
           2         583
           1         575
           1         608
           2         608
           2         733
           1         727
           1        1308
           3        1308
           1        2169
           1        2168
           1        1903
           1        1295
           3        1293
           2        1293
           1        2250
           3        2249
           1        2253
           1        1294
           1        1293
           2        2634
           1        2254
           1        2634
           3        2586
           1         623
           3         618
           1         618
           1         726
           3         694
           3         768
           2        2586
           3        2850
           3        3117
           1        2474
           3        2470
           3        2326
           3        2341
           1        1406
           3        1570
           1        1805
           1         672
           1         546
           3         546
           1         549
           1        1407
           1         636
           1        1452
           1        1404
           2        1404
