           7           2          12           2          14           1
           1           1           4           2           2           1
           1           2           1           2           3           1
           3           3          11           1          12           1
           1           3           2           1           4           2
           6           4          15           1          11           2
           4           1          14           2          15           2
           1           4           3           1           1           2
           8           6           9           1          13           2
           2           5           8           2           6           1
           2           6           5           2           7           1
           3           7          12           1           9           2
           2           7           6           1           8           2
           7           8          14           1          12           2
           4           5          13           1          14           2
           2           8           7           1           5           2
           8           9          17           2           5           1
           3           6           6           2          10           1
           3           9           9           2          11           1
           5          10          18           2          17           1
           3          10          10           1           2           2
           6           3           3           2          18           1
           3           2           2           2           6           2
           7           7           7           2           1           1
           4          11          16           2           8           1
           8           5           5           1          17           2
           7           1           1           1           7           2
           4           8           8           1           4           1
           6          12          18           1           3           2
           4           4           4           1          16           2
           5          11          17           1          18           2
           4          12          15           2          13           1
           5           9          10           2          16           1
           8          11          13           2           9           1
           6          10          11           2          15           1
           5          12          16           1          10           2
